"","Jaccard"
"1",0.136363636363636
"2",0.330578512396694
"3",0.364485981308411
"4",0.216867469879518
"5",0.26530612244898
"6",0.262135922330097
"7",0.339449541284404
"8",0.152777777777778
"9",0.372881355932203
"10",0.377049180327869
"11",0.288461538461538
"12",0.347457627118644
"13",0.371900826446281
"14",0.3515625
"15",0.125
"16",0.365853658536585
"17",0.345794392523364
"18",0.353982300884956
"19",0.3125
"20",0.358974358974359
"21",0.256756756756757
"22",0.349593495934959
"23",0.3515625
"24",0
"25",0.26865671641791
"26",0.0384615384615385
"27",0.235294117647059
"28",0.231707317073171
"29",0.112903225806452
"30",0.28448275862069
"31",0.222222222222222
"32",0.204819277108434
"33",0.205479452054795
"34",0.129032258064516
"35",0.349056603773585
"36",0.295774647887324
"37",0.180555555555556
"38",0.228260869565217
"39",0.183333333333333
"40",0.282352941176471
"41",0.205128205128205
"42",0.194444444444444
"43",0.135135135135135
"44",0.301075268817204
"45",0.2
"46",0.2
"47",0.0188679245283019
"48",0.257142857142857
"49",0.205128205128205
"50",0.253333333333333
"51",0.214285714285714
"52",0.155172413793103
"53",0.2
"54",0.35042735042735
"55",0.261904761904762
"56",0.226415094339623
"57",0.0555555555555556
"58",0.285714285714286
"59",0.0689655172413793
"60",0.17741935483871
"61",0.183333333333333
"62",0.103448275862069
"63",0.202247191011236
"64",0.0952380952380952
"65",0.0338983050847458
"66",0.354838709677419
"67",0.144927536231884
"68",0.0377358490566038
"69",0.137931034482759
"70",0.252747252747253
"71",0.245283018867925
"72",0.225352112676056
"73",0.0909090909090909
"74",0.175438596491228
"75",0.103448275862069
"76",0.0377358490566038
"77",0.0363636363636364
"78",0.120689655172414
"79",0.0192307692307692
"80",0.0517241379310345
"81",0.116666666666667
"82",0.128571428571429
"83",0.129032258064516
"84",0.116666666666667
"85",0.164179104477612
"86",0.114285714285714
"87",0.254237288135593
"88",0.166666666666667
"89",0.136363636363636
"90",0.0714285714285714
"91",0.0588235294117647
"92",0.0925925925925926
"93",0.119402985074627
"94",0.0526315789473684
"95",0.142857142857143
"96",0.152542372881356
"97",0.107142857142857
"98",0.116666666666667
"99",0.132075471698113
"100",0.107142857142857
"101",0.152777777777778
"102",0.0377358490566038
"103",0.0952380952380952
"104",0.115942028985507
"105",0.12280701754386
"106",0.174603174603175
"107",0.0925925925925926
"108",0.0769230769230769
"109",0.142857142857143
"110",0.0625
"111",0.183908045977011
"112",0.202702702702703
"113",0.346153846153846
"114",0.181818181818182
"115",0.087719298245614
"116",0.109090909090909
"117",0.0526315789473684
"118",0.0847457627118644
"119",0.0677966101694915
"120",0.185185185185185
"121",0.311688311688312
"122",0.120689655172414
"123",0.236111111111111
"124",0.0483870967741935
"125",0.159420289855072
"126",0.189655172413793
"127",0.289473684210526
"128",0.217391304347826
"129",0.207792207792208
"130",0.120689655172414
"131",0.135593220338983
"132",0.260416666666667
"133",0.115384615384615
"134",0.109090909090909
"135",0
"136",0.0576923076923077
"137",0.0666666666666667
"138",0.06
"139",0.233333333333333
"140",0.12280701754386
"141",0.127272727272727
"142",0.0754716981132075
"143",0.0555555555555556
"144",0.0545454545454545
"145",0.037037037037037
"146",0.0754716981132075
"147",0.04
"148",0.0943396226415094
"149",0.04
"150",0.0689655172413793
"151",0.037037037037037
"152",0.0666666666666667
"153",0.0425531914893617
"154",0
"155",0.111111111111111
"156",0.192982456140351
"157",0.0769230769230769
"158",0.0384615384615385
"159",0.0212765957446809
"160",0.184615384615385
"161",0.0392156862745098
"162",0.0816326530612245
"163",0.0384615384615385
"164",0.0727272727272727
"165",0.101694915254237
"166",0.0384615384615385
"167",0.0943396226415094
"168",0.0754716981132075
"169",0.0212765957446809
"170",0.0204081632653061
"171",0.0625
"172",0.113207547169811
"173",0.102941176470588
"174",0.0392156862745098
"175",0.102040816326531
"176",0.0204081632653061
"177",0.0416666666666667
"178",0.0727272727272727
"179",0.0192307692307692
"180",0.0392156862745098
"181",0.0204081632653061
"182",0.0425531914893617
"183",0.0588235294117647
"184",0.0208333333333333
"185",0
"186",0
"187",0.0212765957446809
"188",0.0192307692307692
"189",0
"190",0.107142857142857
"191",0.0408163265306122
"192",0.0204081632653061
"193",0.0666666666666667
"194",0.0350877192982456
"195",0.0404040404040404
"196",0.0175438596491228
"197",0.0384615384615385
"198",0.0357142857142857
"199",0.0404040404040404
"200",0.0526315789473684
"201",0.0258620689655172
"202",0.0330578512396694
"203",0.0340909090909091
"204",0.0357142857142857
"205",0.0336134453781513
"206",0.0317460317460317
"207",0.0217391304347826
"208",0.0330578512396694
"209",0.0412371134020619
"210",0.0377358490566038
"211",0.00970873786407767
"212",0.0265486725663717
"213",0.0638297872340425
"214",0.0336134453781513
"215",0.0317460317460317
"216",0
"217",0
"218",0
"219",0.0333333333333333
"220",0.0175438596491228
"221",0
"222",0.029126213592233
"223",0.0227272727272727
"224",0
"225",0.0465116279069767
"226",0.0384615384615385
"227",0.0309278350515464
"228",0.0425531914893617
"229",0.024390243902439
"230",0.0606060606060606
"231",0
"232",0.0153846153846154
"233",0.02
"234",0
"235",0.0512820512820513
"236",0.0263157894736842
"237",0.0192307692307692
"238",0.0217391304347826
"239",0
"240",0
"241",0.0408163265306122
"242",0.02
"243",0.024390243902439
"244",0
"245",0
"246",0.0176991150442478
"247",0.0327868852459016
"248",0.1
"249",0.0769230769230769
"250",0.0277777777777778
"251",0.0555555555555556
"252",0.0344827586206897
"253",0.037037037037037
"254",0
"255",0
"256",0
"257",0.0588235294117647
"258",0.0375
"259",0
"260",0.0909090909090909
"261",0
"262",0.0289855072463768
"263",0.0348837209302326
"264",0
"265",0
"266",0.0434782608695652
"267",0.05
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0.0434782608695652
"274",0
"275",0
"276",0.0909090909090909
"277",0.0606060606060606
"278",0.0294117647058824
"279",0
"280",0.025
"281",0
"282",0.0625
"283",0
"284",0.142857142857143
"285",0.032258064516129
"286",0
"287",0
"288",0
"289",0
"290",0.0434782608695652
"291",0
"292",0
"293",0.0526315789473684
"294",0
"295",0
"296",0.0303030303030303
"297",0.05
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0.0344827586206897
"304",0.0454545454545455
"305",0.0319148936170213
"306",0.0606060606060606
"307",0.0555555555555556
"308",0
"309",0.0625
"310",0
"311",0
"312",0
"313",0.0357142857142857
"314",0
"315",0.0222222222222222
"316",0
"317",0
"318",0
"319",0.0185185185185185
"320",0.0512820512820513
"321",0.0416666666666667
"322",0
"323",0
"324",0.0263157894736842
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0.0689655172413793
"332",0
"333",0
"334",0.0769230769230769
"335",0
"336",0.0714285714285714
"337",0.0833333333333333
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0.181818181818182
"344",0
"345",0
"346",0
"347",0
"348",0.0416666666666667
"349",0
"350",0
"351",0
"352",0.0303030303030303
"353",0
"354",0
"355",0
"356",0.0666666666666667
"357",0
"358",0
"359",0
"360",0.0769230769230769
"361",0
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0.0666666666666667
"371",0
"372",0.111111111111111
"373",0
"374",0
"375",0
"376",0
"377",0.166666666666667
"378",0
"379",0
"380",0.111111111111111
"381",0
"382",0
"383",0
"384",0
"385",0.032258064516129
"386",0.0350877192982456
"387",0.03
"388",0.0175438596491228
"389",0.051948051948052
"390",0.0235294117647059
"391",0.0404040404040404
"392",0.0256410256410256
"393",0.0347826086956522
"394",0.0330578512396694
"395",0.0340909090909091
"396",0.0357142857142857
"397",0.025
"398",0.0317460317460317
"399",0.0217391304347826
"400",0.0330578512396694
"401",0.0306122448979592
"402",0.0280373831775701
"403",0.0297029702970297
"404",0.0357142857142857
"405",0.0416666666666667
"406",0.0336134453781513
"407",0.0317460317460317
"408",0
"409",0.05
"410",0
"411",0.0163934426229508
"412",0.0357142857142857
"413",0.04
"414",0.0192307692307692
"415",0.0465116279069767
"416",0.0178571428571429
"417",0.0227272727272727
"418",0
"419",0.0416666666666667
"420",0.0425531914893617
"421",0.024390243902439
"422",0.0447761194029851
"423",0.0769230769230769
"424",0.03125
"425",0.0625
"426",0
"427",0.0512820512820513
"428",0.04
"429",0.0192307692307692
"430",0.0444444444444444
"431",0
"432",0.0714285714285714
"433",0.0408163265306122
"434",0.0408163265306122
"435",0.05
"436",0.0434782608695652
"437",0.0294117647058824
"438",0.036036036036036
"439",0.05
"440",0.0476190476190476
"441",0.0769230769230769
"442",0.0422535211267606
"443",0
"444",0
"445",0
"446",0.05
"447",0.0158730158730159
"448",0
"449",0
"450",0.0375
"451",0
"452",0
"453",0
"454",0.0289855072463768
"455",0.0348837209302326
