Neuron,GPCR,Total_GPCR_num,GPCR_proportion,NHR,Total_NHR_num,NHR_proportion,insulin,Total_insulin_num,insulin_proportion,Hyperdiv_NHR,Total_Hyperdiv_NHR_num,Hyperdiv_NHR_proportion,Hyperdiv_GPCR,Total_Hyperdiv_GPCR_num,Hyperdiv_GPCR_proportion,Hyper_insulin,Total_Hyperdiv_insulin_num,Hyperdiv_insulin_proportion,Nonhyper_NHR,Total_Nonhyper_NHR_num,Nonhyper_NHR_proportion,Nonhyper_GPCR,Total_Nonhyper_GPCR_num,Nonhyper_GPCR_proportion,Nonhyper_insulin,Total_Nonhyper_insulin_num,Nonhyper_insulin_proportion
AVJ,58,1596,0.036340852,33,267,0.123595506,2,40,0.05,7,146,0.047945205,6,832,0.007211538,0,7,0,26,121,0.214876033,52,764,0.068062827,2,33,0.060606061
AVK,56,1596,0.035087719,17,267,0.063670412,4,40,0.1,4,146,0.02739726,6,832,0.007211538,1,7,0.142857143,13,121,0.107438017,50,764,0.065445026,3,33,0.090909091
AVL,59,1596,0.036967419,40,267,0.149812734,0,40,0,11,146,0.075342466,11,832,0.013221154,0,7,0,29,121,0.239669421,48,764,0.062827225,0,33,0
AVM,58,1596,0.036340852,40,267,0.149812734,3,40,0.075,9,146,0.061643836,9,832,0.010817308,2,7,0.285714286,31,121,0.256198347,49,764,0.064136126,1,33,0.03030303
AWA,201,1596,0.12593985,109,267,0.4082397,25,40,0.625,49,146,0.335616438,70,832,0.084134615,5,7,0.714285714,60,121,0.495867769,131,764,0.171465969,20,33,0.606060606
AWB,140,1596,0.087719298,74,267,0.277153558,6,40,0.15,29,146,0.198630137,40,832,0.048076923,3,7,0.428571429,45,121,0.371900826,100,764,0.130890052,3,33,0.090909091
AWC_OFF,109,1596,0.068295739,93,267,0.348314607,17,40,0.425,41,146,0.280821918,19,832,0.022836538,5,7,0.714285714,52,121,0.429752066,90,764,0.117801047,12,33,0.363636364
AWC_ON,116,1596,0.072681704,96,267,0.359550562,14,40,0.35,41,146,0.280821918,31,832,0.037259615,6,7,0.857142857,55,121,0.454545455,85,764,0.111256545,8,33,0.242424242
BAG,108,1596,0.067669173,66,267,0.247191011,7,40,0.175,28,146,0.191780822,23,832,0.027644231,1,7,0.142857143,38,121,0.314049587,85,764,0.111256545,6,33,0.181818182
BDU,81,1596,0.05075188,40,267,0.149812734,2,40,0.05,9,146,0.061643836,16,832,0.019230769,1,7,0.142857143,31,121,0.256198347,65,764,0.085078534,1,33,0.03030303
CAN,69,1596,0.043233083,77,267,0.288389513,4,40,0.1,26,146,0.178082192,6,832,0.007211538,1,7,0.142857143,51,121,0.421487603,63,764,0.082460733,3,33,0.090909091
CEP,48,1596,0.030075188,63,267,0.235955056,2,40,0.05,25,146,0.171232877,9,832,0.010817308,2,7,0.285714286,38,121,0.314049587,39,764,0.05104712,0,33,0
DA,65,1596,0.040726817,44,267,0.164794007,1,40,0.025,12,146,0.082191781,7,832,0.008413462,0,7,0,32,121,0.26446281,58,764,0.07591623,1,33,0.03030303
DA9,48,1596,0.030075188,17,267,0.063670412,0,40,0,3,146,0.020547945,4,832,0.004807692,0,7,0,14,121,0.115702479,44,764,0.057591623,0,33,0
DB,62,1596,0.038847118,41,267,0.153558052,1,40,0.025,11,146,0.075342466,5,832,0.006009615,0,7,0,30,121,0.247933884,57,764,0.07460733,1,33,0.03030303
DB01,70,1596,0.043859649,44,267,0.164794007,1,40,0.025,9,146,0.061643836,7,832,0.008413462,0,7,0,35,121,0.289256198,63,764,0.082460733,1,33,0.03030303
DVA,50,1596,0.031328321,27,267,0.101123596,0,40,0,6,146,0.04109589,4,832,0.004807692,0,7,0,21,121,0.173553719,46,764,0.060209424,0,33,0
DVB,66,1596,0.041353383,55,267,0.205992509,1,40,0.025,17,146,0.116438356,9,832,0.010817308,0,7,0,38,121,0.314049587,57,764,0.07460733,1,33,0.03030303
DVC,52,1596,0.032581454,34,267,0.127340824,3,40,0.075,8,146,0.054794521,8,832,0.009615385,0,7,0,26,121,0.214876033,44,764,0.057591623,3,33,0.090909091
FLP,58,1596,0.036340852,40,267,0.149812734,2,40,0.05,14,146,0.095890411,12,832,0.014423077,1,7,0.142857143,26,121,0.214876033,46,764,0.060209424,1,33,0.03030303
HSN,100,1596,0.062656642,56,267,0.209737828,1,40,0.025,18,146,0.123287671,19,832,0.022836538,0,7,0,38,121,0.314049587,81,764,0.106020942,1,33,0.03030303
I1,72,1596,0.045112782,66,267,0.247191011,0,40,0,27,146,0.184931507,14,832,0.016826923,0,7,0,39,121,0.32231405,58,764,0.07591623,0,33,0
I2,41,1596,0.025689223,42,267,0.157303371,3,40,0.075,15,146,0.102739726,11,832,0.013221154,1,7,0.142857143,27,121,0.223140496,30,764,0.039267016,2,33,0.060606061
I3,58,1596,0.036340852,50,267,0.187265918,2,40,0.05,17,146,0.116438356,8,832,0.009615385,0,7,0,33,121,0.272727273,50,764,0.065445026,2,33,0.060606061
