NHR,GPCR,Similarity
odr-7,str-131,0.5
odr-7,srx-66,0.5
odr-7,str-129,0.5
odr-7,srg-11,0.5
odr-7,str-18,0.5
odr-7,str-19,0.5
odr-7,srx-19,0.5
odr-7,str-261,0.5
odr-7,F41H8.2,0.5
odr-7,srbc-66,0.5
odr-7,srx-56,0.5
odr-7,srg-34,0.5
odr-7,sra-4,0.5
odr-7,srh-135,0.5
odr-7,odr-10,1
odr-7,str-256,1
odr-7,srj-11,0.5
odr-7,str-63,1
odr-7,str-227,0.5
odr-7,srx-68,1
odr-7,srx-67,1
odr-7,srx-64,1
odr-7,str-31,1
odr-7,str-130,0.5
odr-7,str-145,0.5
odr-7,srd-26,1
odr-7,srd-28,1
odr-7,str-12,1
odr-7,str-27,1
odr-7,str-43,0.5
odr-7,srd-27,1
odr-7,str-148,1
nhr-175,str-131,0.5
nhr-175,srx-66,0.5
nhr-175,str-129,0.5
nhr-175,srg-11,0.5
nhr-175,str-18,0.5
nhr-175,str-19,0.5
nhr-175,srx-19,0.5
nhr-175,str-261,0.5
nhr-175,F41H8.2,0.5
nhr-175,srbc-66,0.5
nhr-175,srx-56,0.5
nhr-175,srg-34,0.5
nhr-175,sra-4,0.5
nhr-175,srh-135,0.5
nhr-175,odr-10,1
nhr-175,str-256,1
nhr-175,srj-11,0.5
nhr-175,str-63,1
nhr-175,str-227,0.5
nhr-175,srx-68,1
nhr-175,srx-67,1
nhr-175,srx-64,1
nhr-175,str-31,1
nhr-175,str-130,0.5
nhr-175,str-145,0.5
nhr-175,srd-26,1
nhr-175,srd-28,1
nhr-175,str-12,1
nhr-175,str-27,1
nhr-175,str-43,0.5
nhr-175,srd-27,1
nhr-175,str-148,1
