"","GPCR","Total_GPCR_num","GPCR_proportion","NHR","Total_NHR_num","NHR_proportion","insulin","Total_insulin_num","insulin_proportion","Hyperdiv_NHR","Total_Hyperdiv_NHR_num","Hyperdiv_NHR_proportion","Hyperdiv_GPCR","Total_Hyperdiv_GPCR_num","Hyperdiv_GPCR_proportion","Hyper_insulin","Total_Hyperdiv_insulin_num","Hyperdiv_insulin_proportion","Nonhyper_NHR","Total_Nonhyper_NHR_num","Nonhyper_NHR_proportion","Nonhyper_GPCR","Total_Nonhyper_GPCR_num","Nonhyper_GPCR_proportion","Nonhyper_insulin","Total_Nonhyper_insulin_num","Nonhyper_insulin_proportion"
"RIB",65,1596,0.040726817,32,267,0.119850187,3,40,0.075,7,146,0.047945205,8,832,0.009615385,3,7,0.428571429,25,121,0.20661157,57,764,0.07460733,0,33,0
"RIC",80,1596,0.050125313,39,267,0.146067416,4,40,0.1,9,146,0.061643836,8,832,0.009615385,1,7,0.142857143,30,121,0.247933884,72,764,0.094240838,3,33,0.090909091
"RID",68,1596,0.042606516,33,267,0.123595506,2,40,0.05,7,146,0.047945205,11,832,0.013221154,0,7,0,26,121,0.214876033,57,764,0.07460733,2,33,0.060606061
"RIF",74,1596,0.046365915,24,267,0.08988764,1,40,0.025,7,146,0.047945205,12,832,0.014423077,0,7,0,17,121,0.140495868,62,764,0.081151832,1,33,0.03030303
"RIG",85,1596,0.053258145,43,267,0.161048689,3,40,0.075,7,146,0.047945205,12,832,0.014423077,1,7,0.142857143,36,121,0.297520661,73,764,0.095549738,2,33,0.060606061
"RIH",78,1596,0.04887218,41,267,0.153558052,5,40,0.125,11,146,0.075342466,12,832,0.014423077,2,7,0.285714286,30,121,0.247933884,66,764,0.086387435,3,33,0.090909091
"RIP",86,1596,0.053884712,39,267,0.146067416,3,40,0.075,8,146,0.054794521,12,832,0.014423077,2,7,0.285714286,31,121,0.256198347,74,764,0.096858639,1,33,0.03030303
"RIR",73,1596,0.045739348,45,267,0.168539326,9,40,0.225,11,146,0.075342466,16,832,0.019230769,2,7,0.285714286,34,121,0.280991736,57,764,0.07460733,7,33,0.212121212
"RIS",87,1596,0.054511278,44,267,0.164794007,4,40,0.1,17,146,0.116438356,14,832,0.016826923,2,7,0.285714286,27,121,0.223140496,73,764,0.095549738,2,33,0.060606061
"SAA",39,1596,0.02443609,16,267,0.059925094,0,40,0,4,146,0.02739726,4,832,0.004807692,0,7,0,12,121,0.099173554,35,764,0.045811518,0,33,0
"SDQ",43,1596,0.026942356,23,267,0.086142322,2,40,0.05,8,146,0.054794521,8,832,0.009615385,1,7,0.142857143,15,121,0.123966942,35,764,0.045811518,1,33,0.03030303
